Technischer Schlüssel;Link-ID;Detailnetz-Nr.;VP_von;VP_bis;Von-Station;Bis-Station;Verkehrsrichtung;Verkehrsebene;Straßentyp;StEP-Klasse;OKSTRA-Klasse;RBS-Klasse;Straßenname;Bezirk;Ortsteil;DTVw-2019-Kfz;DTVw-2019-Lkw
505;35490001_35490005;35490001_35490005.01;35490001,00;35490005,00;0,00;57,00;B;2,00;S;II;G;STRA;Hüttenweg;Steglitz-Zehlendorf;Nikolassee;10300,00;150,00
507;52490024_52490023;52490024_52490023.02;52490024,00;52490023,00;0,00;96,00;B;0,00;S;II;G;STRA;Baumschulenstraße;Treptow-Köpenick;Baumschulenweg;17900,00;860,00
508;T0099520_62380001;62390004_62380001.01;62390004,00;62380001,00;42,00;135,00;B;0,00;S;II;G;STRA;Adlergestell;Treptow-Köpenick;Schmöckwitz;12600,00;420,00
509;49480042_49480020;49480042_49480020.01;49480042,00;49480020,00;0,00;291,00;R;-1,00;A;I;A;AUBA;100 AS Buschkruga Ausfahrt n Buschkruga >S;Neukölln;Britz;8500,00;420,00
510;43500035_43490044;43500035_43490044.01;43500035,00;43490044,00;0,00;265,00;R;0,00;A;I;A;AUBA;100 AK Schöneberg Begleitfahrbahn A 100 n Osten;Tempelhof-Schöneberg;Schöneberg;3800,00;120,00
511;T0080730_58490003;58490004_58490003.01;58490004,00;58490003,00;130,00;194,00;B;0,00;S;III;G;STRA;Kaulsdorfer Straße;Treptow-Köpenick;Köpenick;9400,00;190,00
512;T0325241_50480018;49480045_50480018.01;49480045,00;50480018,00;357,00;476,00;R;0,00;A;I;A;AUBA;A 100 BAB Stadtring;Neukölln;Neukölln;49000,00;3210,00
513;28560008_28560009;28560008_28560009.02;28560008,00;28560009,00;0,00;33,00;B;0,00;S;II;G;STRA;Nennhauser Damm;Spandau;Staaken;5400,00;340,00
514;29590017_T0011090;29590017_29590018.01;29590017,00;29590018,00;0,00;73,00;B;0,00;S;II;G;STRA;Falkenseer Chaussee;Spandau;Falkenhagener Feld;19300,00;660,00
515;43630021_43630014;43630021_43630014.01;43630021,00;43630014,00;0,00;53,00;B;0,00;S;II;G;STRA;Schorfheidestraße;Reinickendorf;Märkisches Viertel;8400,00;210,00
516;T0326171_T0326181;49650027_49620012.01;49650027,00;49620012,00;2145,00;2340,00;R;0,00;A;I;A;AUBA;A 114 BAB Autobahnzubringer Prenzlau;Pankow;Französisch Buchholz;21100,00;1380,00
517;T0090800_44510008;44510001_44510008.01;44510001,00;44510008,00;142,00;297,00;B;0,00;S;III;G;STRA;Katzbachstraße;Friedrichshain-Kreuzberg;Kreuzberg;21500,00;900,00
518;42500085_42500063;42500085_42500063.02;42500085,00;42500063,00;0,00;329,00;R;-1,00;A;II;A;AUBA;100 AS Innsbrucker (östl T) Einf v Innsbrucker;Tempelhof-Schöneberg;Schöneberg;13100,00;320,00
519;T0039910_48490034;48490031_48490034.01;48490031,00;48490034,00;142,00;261,00;B;0,00;S;IV;G;STRA;Silbersteinstraße;Neukölln;Neukölln;7200,00;130,00
520;T0123430_T0052300;36490001_36480010.01;36490001,00;36480010,00;607,00;954,00;B;0,00;S;III;G;STRA;Hüttenweg;Steglitz-Zehlendorf;Dahlem;6600,00;130,00
523;43500023_43500024;43500023_43500024.01;43500023,00;43500024,00;0,00;66,00;B;0,00;S;I;B;STRA;Sachsendamm;Tempelhof-Schöneberg;Schöneberg;35000,00;750,00
524;33450026_33450036;33450026_33450036.02;33450026,00;33450036,00;0,00;72,00;B;0,00;S;I;B;STRA;Potsdamer Chaussee;Steglitz-Zehlendorf;Nikolassee;31400,00;800,00
525;T0010050_48440021;48440024_48440021.01;48440024,00;48440021,00;148,00;291,00;B;0,00;S;II;G;STRA;Alt-Buckow;Neukölln;Buckow;21000,00;490,00
526;48440043_48440015;48440043_48440015.01;48440043,00;48440015,00;0,00;48,00;B;0,00;S;II;G;STRA;Alt-Buckow;Neukölln;Buckow;22600,00;690,00
528;T0041960_T0123430;36490001_36480010.01;36490001,00;36480010,00;507,00;607,00;B;0,00;S;III;G;STRA;Hüttenweg;Steglitz-Zehlendorf;Dahlem;6600,00;130,00
529;46610007_T0008500;46610007_46610009.01;46610007,00;46610009,00;0,00;62,00;B;0,00;S;II;B;STRA;Dietzgenstraße;Pankow;Niederschönhausen;23400,00;1270,00
530;T0007860_49600020;49600021_49600020.01;49600021,00;49600020,00;56,00;91,00;B;0,00;S;II;G;STRA;Romain-Rolland-Straße;Pankow;Heinersdorf;23400,00;1710,00
531;T0019050_58420011;57420046_58420011.01;57420046,00;58420011,00;85,00;213,00;B;0,00;S;II;G;STRA;Adlergestell;Treptow-Köpenick;Grünau;13700,00;340,00
532;T0006890_43430015;43430016_43430015.01;43430016,00;43430015,00;239,00;428,00;B;0,00;S;II;G;STRA;Hildburghauser Straße;Tempelhof-Schöneberg;Marienfelde;24900,00;580,00
533;45520007_T0008670;45520007_45520022.01;45520007,00;45520022,00;0,00;78,00;B;0,00;S;II;G;STRA;Wilhelmstraße;Friedrichshain-Kreuzberg;Kreuzberg;21700,00;560,00
534;39570055_39570044;39570055_39570044.01;39570055,00;39570044,00;0,00;180,00;R;0,00;A;I;A;AUBA;A 111 BAB Autobahnzubringer Hamburg;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;63500,00;3830,00
535;35580005_T0022100;35580005_35570004.02;35580005,00;35570004,00;0,00;109,00;B;0,00;S;IV;G;STRA;Haselhorster Damm;Spandau;Haselhorst;9900,00;180,00
536;58430031_58430038;58430031_58430038.02;58430031,00;58430038,00;0,00;250,00;B;0,00;S;III;G;STRA;Regattastraße;Treptow-Köpenick;Grünau;9100,00;490,00
537;31500011_31500019;31500011_31500019.01;31500011,00;31500019,00;0,00;260,00;B;0,00;S;II;G;STRA;Kladower Damm;Spandau;Gatow;11100,00;370,00
538;39650015_39650006;39650015_39650006.01;39650015,00;39650006,00;0,00;131,00;B;0,00;S;II;G;STRA;Hermsdorfer Damm;Reinickendorf;Hermsdorf;20000,00;390,00
539;54570019_54570018;54570019_54570018.01;54570019,00;54570018,00;0,00;223,00;B;0,00;S;II;G;STRA;Rhinstraße;Lichtenberg;Alt-Hohenschönhausen;24600,00;1580,00
540;T0005500_41490029;41490048_41490029.01;41490048,00;41490029,00;90,00;162,00;B;0,00;S;II;G;STRA;Saarstraße;Tempelhof-Schöneberg;Friedenau;24600,00;390,00
541;T0023710_43630013;43630012_43630013.02;43630012,00;43630013,00;54,00;127,00;B;0,00;S;V;G;STRA;Eichhorster Weg;Reinickendorf;Märkisches Viertel;7800,00;170,00
542;48630029_48630082;48630029_48630082.01;48630029,00;48630082,00;0,00;98,00;B;0,00;S;III;G;STRA;Bahnhofstraße;Pankow;Französisch Buchholz;8800,00;330,00
543;T0109880_T0028380;46660002_46650002.01;46660002,00;46650002,00;273,00;444,00;B;0,00;S;II;B;STRA;Blankenfelder Chaussee;Pankow;Blankenfelde;13800,00;360,00
544;46630031_T0027310;46630031_46630025.02;46630031,00;46630025,00;0,00;28,00;B;0,00;S;III;G;STRA;Kastanienallee;Pankow;Rosenthal;5200,00;150,00
545;48570023_48570024;48570023_48570024.01;48570023,00;48570024,00;0,00;103,00;B;0,00;S;III;G;STRA;Grellstraße;Pankow;Prenzlauer Berg;13700,00;560,00
546;T0013040_T0118010;36550014_36550015.01;36550014,00;36550015,00;59,00;320,00;B;0,00;S;II;G;STRA;Reichsstraße;Charlottenburg-Wilmersdorf;Westend;17100,00;720,00
547;37470012_T0089480;37470012_37470007.01;37470012,00;37470007,00;0,00;40,00;B;0,00;S;II;G;STRA;Clayallee;Steglitz-Zehlendorf;Dahlem;22500,00;280,00
548;47470004_47470005;47470004_47470005.01;47470004,00;47470005,00;0,00;70,00;B;0,00;S;II;G;STRA;Gradestraße;Tempelhof-Schöneberg;Mariendorf;23000,00;1050,00
549;47420012_47420020;47420012_47420020.01;47420012,00;47420020,00;0,00;77,00;B;0,00;S;III;G;STRA;Töpchiner Weg;Tempelhof-Schöneberg;Lichtenrade;8300,00;110,00
550;39560013_T0026480;39560013_39560009.01;39560013,00;39560009,00;0,00;103,00;B;0,00;S;IV;G;STRA;Olbersstraße;Charlottenburg-Wilmersdorf;Charlottenburg;7300,00;380,00
551;52500006_52500003;52500006_52500003.01;52500006,00;52500003,00;0,00;269,00;B;0,00;S;IV;G;STRA;Neue Krugallee;Treptow-Köpenick;Plänterwald;9200,00;220,00
552;38480021_T0066120;38480021_38480008.01;38480021,00;38480008,00;0,00;100,00;B;0,00;S;II;G;STRA;Königin-Luise-Straße;Steglitz-Zehlendorf;Dahlem;8600,00;150,00
553;34590056_34590014;34590056_34590014.01;34590056,00;34590014,00;0,00;305,00;B;0,00;S;IV;G;STRA;Spandauer-See-Brücke;Spandau;Hakenfelde;2700,00;50,00
554;40470014_40470002;40470014_40470002.02;40470014,00;40470002,00;0,00;65,00;B;0,00;S;I;B;STRA;Schloßstraße;Steglitz-Zehlendorf;Steglitz;32400,00;640,00
555;44480018_44480036;44480018_44480036.01;44480018,00;44480036,00;0,00;86,00;B;0,00;S;II;G;STRA;Manteuffelstraße;Tempelhof-Schöneberg;Tempelhof;30400,00;810,00
556;T0325242_49480014;50480016_49480014.01;50480016,00;49480014,00;167,00;347,00;R;2,00;A;I;A;AUBA;A 100 BAB Stadtring;Neukölln;Neukölln;9300,00;1980,00
557;51540040_T0043490;51540040_51540041.01;51540040,00;51540041,00;0,00;139,00;B;0,00;S;I;B;STRA;Frankfurter Allee;Lichtenberg;Lichtenberg;64300,00;1520,00
558;T0013870_54440018;54440019_54440018.03;54440019,00;54440018,00;79,00;182,00;B;0,00;S;III;G;STRA;Wegedornstraße;Treptow-Köpenick;Altglienicke;13900,00;570,00
559;55430004_55430038;55430004_55430038.02;55430004,00;55430038,00;0,00;131,00;B;0,00;S;III;G;STRA;Schönefelder Chaussee;Treptow-Köpenick;Altglienicke;9700,00;320,00
560;T0086560_T0005090;56420056_57430018.01;56420056,00;57430018,00;265,00;893,00;B;0,00;S;II;B;STRA;B 96A (Süd);Treptow-Köpenick;Altglienicke;29200,00;1670,00
561;33550015_33550003;33550015_33550003.01;33550015,00;33550003,00;0,00;82,00;B;0,00;S;III;G;STRA;Götelstraße;Spandau;Wilhelmstadt;12800,00;440,00
562;53500008_T0043880;53500008_53490007.02;53500008,00;53490007,00;0,00;155,00;B;0,00;S;II;G;STRA;Rummelsburger Landstraße;Treptow-Köpenick;Oberschöneweide;25000,00;840,00
563;46470010_T0047040;46470010_46470008.01;46470010,00;46470008,00;0,00;357,00;B;0,00;S;II;G;STRA;Ullsteinstraße;Tempelhof-Schöneberg;Tempelhof;9000,00;360,00
564;47520043_47520044;47520043_47520044.02;47520043,00;47520044,00;0,00;22,00;R;0,00;S;II;G;STRA;Kottbusser Tor;Friedrichshain-Kreuzberg;Kreuzberg;19000,00;640,00
565;44530030_T0032470;44530030_44530010.01;44530030,00;44530010,00;0,00;68,00;B;0,00;S;I;B;STRA;Potsdamer Straße;Mitte;Tiergarten;30200,00;720,00
566;58480006_T0081150;58480006_58480009.01;58480006,00;58480009,00;0,00;62,00;B;0,00;S;V;G;STRA;Am Bahndamm;Treptow-Köpenick;Köpenick;6300,00;130,00
567;49500027_49500055;49500027_49500055.02;49500027,00;49500055,00;0,00;95,00;B;0,00;S;V;G;STRA;Treptower Straße;Neukölln;Neukölln;8300,00;230,00
568;T0021350_31580049;31580027_31580049.01;31580027,00;31580049,00;115,00;209,00;B;0,00;S;III;G;STRA;Zeppelinstraße;Spandau;Falkenhagener Feld;10700,00;140,00
569;27430004_27430002;27430004_27430002.01;27430004,00;27430002,00;0,00;489,00;B;0,00;S;II;B;STRA;Königstraße;Steglitz-Zehlendorf;Wannsee;11500,00;250,00
570;40630030_40630036;40630030_40630036.01;40630030,00;40630036,00;0,00;143,00;B;0,00;S;III;G;STRA;Gorkistraße;Reinickendorf;Wittenau;7700,00;120,00
571;47550012_47550013;47550012_47550013.02;47550012,00;47550013,00;0,00;107,00;B;0,00;S;I;G;STRA;Alexanderstraße;Mitte;Mitte;16700,00;620,00
572;55400001_T0013920;55400001_55410015.03;55400001,00;55410015,00;0,00;140,00;B;0,00;S;II;B;STRA;B 96A (Süd);Treptow-Köpenick;Altglienicke;19500,00;1580,00
573;58510021_58510020;58510021_58510020.02;58510021,00;58510020,00;0,00;148,00;B;0,00;S;III;G;STRA;Chemnitzer Straße;Marzahn-Hellersdorf;Kaulsdorf;8900,00;200,00
574;45660009_T0061780;45660009_45660005.02;45660009,00;45660005,00;0,00;426,00;B;0,00;S;II;B;STRA;Schildower Straße;Pankow;Blankenfelde;14900,00;360,00
575;36560007_36560008;36560007_36560008.01;36560007,00;36560008,00;0,00;71,00;B;0,00;S;III;G;STRA;Wiesendamm;Spandau;Spandau;12200,00;2070,00
576;42590030_42580009;42590030_42580009.01;42590030,00;42580009,00;0,00;138,00;B;0,00;S;I;G;STRA;Müllerstraße;Mitte;Wedding;24000,00;780,00
577;49550037_49550023;49550037_49550023.01;49550037,00;49550023,00;0,00;79,00;B;0,00;S;II;G;STRA;Landsberger Allee;Friedrichshain-Kreuzberg;Friedrichshain;33000,00;1950,00
578;44470007_44470045;44470007_44470045.01;44470007,00;44470045,00;0,00;76,00;B;0,00;S;II;G;STRA;Germelmannbrücke;Tempelhof-Schöneberg;Tempelhof;20100,00;790,00
579;T0081250_45580017;45580033_45580017.01;45580033,00;45580017,00;85,00;175,00;B;0,00;S;IV;G;STRA;Behmstraße;Mitte;Gesundbrunnen;13500,00;440,00
580;39630019_39630040;39630019_39630040.01;39630019,00;39630040,00;0,00;138,00;B;0,00;S;III;G;STRA;Gorkistraße;Reinickendorf;Tegel;8600,00;130,00
581;53670009_53670012;53670009_53670012.01;53670009,00;53670012,00;0,00;80,00;B;0,00;S;IV;G;STRA;Lindenberger Weg;Pankow;Buch;8400,00;40,00
582;39640036_40640003;39640036_40640003.01;39640036,00;40640003,00;0,00;86,00;B;0,00;S;II;G;STRA;Waidmannsluster Damm;Reinickendorf;Tegel;18500,00;490,00
583;51530006_51540012;51530006_51540012.01;51530006,00;51540012,00;0,00;105,00;B;0,00;S;II;G;STRA;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;14000,00;520,00
584;33580067_33580046;33580067_33580046.01;33580067,00;33580046,00;0,00;13,00;B;0,00;S;II;G;STRA;Neuendorfer Straße;Spandau;Hakenfelde;17300,00;470,00
585;T0104370_31550008;31550013_31550008.01;31550013,00;31550008,00;145,00;332,00;B;0,00;S;III;G;STRA;Wilhelmstraße;Spandau;Wilhelmstadt;8800,00;190,00
586;43540009_T0011010;43540009_43540015.01;43540009,00;43540015,00;0,00;179,00;B;0,00;S;II;G;STRA;Spreeweg;Mitte;Tiergarten;26600,00;330,00
587;T0144680_48640050;48640013_48640050.01;48640013,00;48640050,00;106,00;184,00;B;0,00;S;IV;G;STRA;Blankenfelder Straße;Pankow;Französisch Buchholz;10700,00;300,00
588;T0026110_36570009;36570001_36570009.01;36570001,00;36570009,00;78,00;205,00;B;0,00;S;IV;G;STRA;Otternbuchtstraße;Spandau;Siemensstadt;6900,00;560,00
589;47540032_T0073960;47540032_47540002.02;47540032,00;47540002,00;0,00;67,00;B;0,00;S;I;G;STRA;Molkenmarkt;Mitte;Mitte;25800,00;1060,00
590;55530008_55530004;55530008_55530004.01;55530008,00;55530004,00;0,00;229,00;B;0,00;S;I;B;STRA;Alt-Friedrichsfelde;Lichtenberg;Friedrichsfelde;64000,00;1730,00
591;T0001330_45530010;45530012_45530010.01;45530012,00;45530010,00;144,00;322,00;B;0,00;S;I;B;STRA;Leipziger Straße;Mitte;Mitte;42200,00;1130,00
592;T0114790_45630061;44630017_45630061.02;44630017,00;45630061,00;118,00;160,00;B;0,00;S;II;G;STRA;Friedrich-Engels-Straße;Pankow;Rosenthal;5600,00;180,00
593;34450037_34450026;34450037_34450026.01;34450037,00;34450026,00;0,00;335,00;B;0,00;S;I;B;STRA;Potsdamer Chaussee;Steglitz-Zehlendorf;Zehlendorf;33200,00;850,00
594;T0110070_42490008;42500045_42490008.01;42500045,00;42490008,00;47,00;170,00;B;0,00;S;IV;G;STRA;Rubensstraße;Tempelhof-Schöneberg;Schöneberg;6500,00;60,00
595;31440024_31440027;31440024_31440027.02;31440024,00;31440027,00;0,00;350,00;B;0,00;S;III;G;STRA;Kronprinzessinnenweg;Steglitz-Zehlendorf;Wannsee;9300,00;230,00
596;39520046_39520032;39520046_39520032.01;39520046,00;39520032,00;0,00;132,00;B;0,00;S;III;G;STRA;Westfälische Straße;Charlottenburg-Wilmersdorf;Halensee;9500,00;130,00
597;T0021930_45430009;45430008_45430009.01;45430008,00;45430009,00;126,00;220,00;B;0,00;S;III;G;STRA;Richard-Tauber-Damm;Tempelhof-Schöneberg;Marienfelde;12100,00;250,00
598;38630027_38630010;38630027_38630010.01;38630027,00;38630010,00;0,00;122,00;B;0,00;S;III;G;STRA;Bernstorffstraße;Reinickendorf;Tegel;3100,00;70,00
599;57450009_57450010;57450009_57450010.03;57450009,00;57450010,00;0,00;111,00;B;0,00;S;II;G;STRA;Glienicker Straße;Treptow-Köpenick;Köpenick;39100,00;2030,00
600;T0080420_44550043;44550039_44550043.02;44550039,00;44550043,00;258,00;493,00;R;-2,00;S;II;B;STRA;Tunnel Tierg Hauptfb Zw Einf Heidestr. U Einf Invalidenstr.;Mitte;Moabit;18800,00;450,00
601;48580006_48580042;48580006_48580042.01;48580006,00;48580042,00;0,00;90,00;B;0,00;S;II;G;STRA;Wisbyer Straße;Pankow;Prenzlauer Berg;29000,00;1070,00
602;47510021_47510005;47510021_47510005.01;47510021,00;47510005,00;0,00;22,00;B;0,00;S;II;G;STRA;Urbanstraße;Friedrichshain-Kreuzberg;Kreuzberg;18600,00;340,00
603;48540040_48540026;48540040_48540026.01;48540040,00;48540026,00;0,00;70,00;R;0,00;S;I;B;STRA;Strausberger Platz;Friedrichshain-Kreuzberg;Friedrichshain;27600,00;730,00
604;49550021_49550010;49550021_49550010.01;49550021,00;49550010,00;0,00;122,00;B;0,00;S;II;B;STRA;Petersburger Straße;Friedrichshain-Kreuzberg;Friedrichshain;21900,00;1060,00
605;T0022270_42490001;42490003_42490001.01;42490003,00;42490001,00;64,00;109,00;B;0,00;S;III;G;STRA;Knausstraße;Steglitz-Zehlendorf;Steglitz;9300,00;190,00
606;32570017_32570018;32570017_32570018.01;32570017,00;32570018,00;0,00;226,00;B;0,00;S;II;G;STRA;Falkenseer Damm;Spandau;Spandau;30100,00;1410,00
607;47550027_47550010;47550027_47550010.01;47550027,00;47550010,00;0,00;216,00;B;0,00;S;I;B;STRA;Karl-Liebknecht-Straße;Mitte;Mitte;17800,00;560,00
608;45560018_45560011;45560018_45560011.01;45560018,00;45560011,00;0,00;203,00;B;0,00;S;II;G;STRA;Invalidenstraße;Mitte;Mitte;14600,00;300,00
609;39580013_39580012;39580013_39580012.01;39580013,00;39580012,00;0,00;385,00;R;0,00;A;I;A;AUBA;A 111 BAB Autobahnzubringer Hamburg;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;50600,00;3410,00
610;51440021_51440010;51440021_51440010.01;51440021,00;51440010,00;0,00;71,00;B;0,00;S;III;G;STRA;Fritz-Erler-Allee;Neukölln;Gropiusstadt;16000,00;500,00
611;42520062_T0074711;42520062_42520021.01;42520062,00;42520021,00;0,00;31,00;R;0,00;S;II;G;STRA;Lietzenburger Straße;Tempelhof-Schöneberg;Schöneberg;15200,00;70,00
612;T0022820_32450010;32450019_32450010.01;32450019,00;32450010,00;133,00;346,00;B;0,00;S;III;G;STRA;Spanische Allee;Steglitz-Zehlendorf;Nikolassee;10700,00;150,00
613;T0076820_36470042;36480003_36470042.01;36480003,00;36470042,00;51,00;190,00;B;0,00;S;II;G;STRA;Onkel-Tom-Straße;Steglitz-Zehlendorf;Zehlendorf;12700,00;290,00
614;42430030_43430023;42430030_43430023.01;42430030,00;43430023,00;0,00;112,00;B;0,00;S;III;G;STRA;Maximilian-Kaller-Straße;Tempelhof-Schöneberg;Marienfelde;7300,00;130,00
615;39570003_T0059160;39570003_39570029.01;39570003,00;39570029,00;0,00;171,00;B;0,00;S;IV;G;STRA;Heckerdamm;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;9100,00;190,00
616;45520027_T0019600;45520027_45520028.01;45520027,00;45520028,00;0,00;61,00;B;0,00;S;III;G;STRA;Möckernstraße;Friedrichshain-Kreuzberg;Kreuzberg;10900,00;420,00
617;48510022_48510025;48510022_48510025.02;48510022,00;48510025,00;0,00;66,00;B;0,00;S;II;G;STRA;Karl-Marx-Straße;Neukölln;Neukölln;16900,00;280,00
618;39620059_38630042;39620059_38630042.01;39620059,00;38630042,00;0,00;768,00;R;-2,00;A;I;A;AUBA;A 111 BAB Autobahnzubringer Hamburg;Reinickendorf;Tegel;43000,00;3120,00
619;40620013_T0009770;40620013_40620014.01;40620013,00;40620014,00;0,00;319,00;B;0,00;S;II;G;STRA;Holzhauser Straße;Reinickendorf;Wittenau;20100,00;1110,00
620;T0016220_48500034;48500033_48500034.01;48500033,00;48500034,00;83,00;113,00;B;0,00;S;II;G;STRA;Flughafenstraße;Neukölln;Neukölln;13000,00;330,00
621;54530002_54530004;54530002_54530004.02;54530002,00;54530004,00;0,00;151,00;B;0,00;S;II;G;STRA;Am Tierpark;Lichtenberg;Friedrichsfelde;39600,00;2290,00
622;54520007_T0061660;54520007_54520008.01;54520007,00;54520008,00;0,00;220,00;B;0,00;S;II;G;STRA;Am Tierpark;Lichtenberg;Friedrichsfelde;27500,00;1270,00
623;37520036_37520035;37520036_37520035.01;37520036,00;37520035,00;0,00;721,00;R;0,00;A;I;A;AUBA;115 AD Funkturm Verb-Fb v A 115 n A 100 Süden;Charlottenburg-Wilmersdorf;Westend;17500,00;730,00
624;40520017_40520069;40520017_40520069.01;40520017,00;40520069,00;0,00;88,00;R;0,00;S;II;G;STRA;Brandenburgische Straße;Charlottenburg-Wilmersdorf;Wilmersdorf;4800,00;80,00
625;T0064420_50530033;50520020_50530033.03;50520020,00;50530033,00;56,00;172,00;B;0,00;S;II;G;STRA;Markgrafendamm;Friedrichshain-Kreuzberg;Friedrichshain;18400,00;720,00
626;60570014_60570005;60570014_60570005.01;60570014,00;60570005,00;0,00;300,00;B;0,00;S;II;G;STRA;Stendaler Straße;Marzahn-Hellersdorf;Hellersdorf;13900,00;240,00
627;42500077_42500047;42500077_42500047.01;42500077,00;42500047,00;0,00;24,00;B;0,00;S;IV;G;STRA;Rubensstraße;Tempelhof-Schöneberg;Schöneberg;6500,00;60,00
628;34590053_34590054;34590053_34590054.02;34590053,00;34590054,00;0,00;84,00;B;0,00;S;IV;G;STRA;Hugo-Cassirer-Straße;Spandau;Hakenfelde;2700,00;50,00
629;41650053_41650048;41650053_41650048.01;41650053,00;41650048,00;0,00;120,00;B;0,00;S;III;G;STRA;Zabel-Krüger-Damm;Reinickendorf;Waidmannslust;15700,00;310,00
630;41560002_41560011;41560002_41560011.01;41560002,00;41560011,00;0,00;133,00;B;0,00;S;III;G;STRA;Huttenstraße;Mitte;Moabit;7000,00;220,00
631;31570027_31580047;31570027_31580047.01;31570027,00;31580047,00;0,00;367,00;B;0,00;S;III;G;STRA;Zeppelinstraße;Spandau;Falkenhagener Feld;15400,00;250,00
632;43500004_43500005;43500004_43500005.01;43500004,00;43500005,00;0,00;73,00;B;0,00;S;I;B;STRA;Dominicusstraße;Tempelhof-Schöneberg;Schöneberg;27700,00;590,00
633;42490001_42490002;42490001_42490002.01;42490001,00;42490002,00;0,00;84,00;B;0,00;S;III;G;STRA;Feuerbachstraße;Steglitz-Zehlendorf;Steglitz;4000,00;60,00
634;62550048_62550001;62550048_62550001.02;62550048,00;62550001,00;0,00;47,00;B;0,00;S;V;L;BRB;-;Marzahn-Hellersdorf;Mahlsdorf;11100,00;770,00
635;37650002_36650002;37650002_36650002.01;37650002,00;36650002,00;0,00;833,00;R;0,00;A;I;A;AUBA;A 111 BAB Autobahnzubringer Hamburg;Reinickendorf;Tegel;34600,00;2990,00
636;42490059_43500042;42490059_43500042.01;42490059,00;43500042,00;0,00;819,00;R;2,00;A;I;A;AUBA;103 AK Schöneberg Hauptfahrbahn >NO;Tempelhof-Schöneberg;Schöneberg;8400,00;90,00
637;37640007_37650002;37640007_37650002.01;37640007,00;37650002,00;0,00;713,00;R;0,00;A;I;A;AUBA;A 111 BAB Autobahnzubringer Hamburg;Reinickendorf;Tegel;34600,00;2990,00
638;49590034_49590001;49590034_49590001.01;49590034,00;49590001,00;0,00;59,00;B;0,00;S;IV;G;STRA;Gustav-Adolf-Straße;Pankow;Weißensee;6500,00;100,00
639;43510052_43510043;43510052_43510043.02;43510052,00;43510043,00;0,00;85,00;B;0,00;S;II;G;STRA;Kolonnenstraße;Tempelhof-Schöneberg;Schöneberg;10600,00;200,00
640;47550007_47550006;47550007_47550006.02;47550007,00;47550006,00;0,00;240,00;B;0,00;S;II;G;STRA;Torstraße;Mitte;Mitte;33800,00;1270,00
641;42490042_42490029;42490042_42490029.01;42490042,00;42490029,00;0,00;35,00;B;2,00;S;II;G;STRA;Saarstraße;Tempelhof-Schöneberg;Schöneberg;19900,00;310,00
642;40670030_40670031;40670030_40670031.01;40670030,00;40670031,00;0,00;150,00;B;0,00;S;IV;G;STRA;Burgfrauenstraße;Reinickendorf;Hermsdorf;4200,00;80,00
784;T0126720_45540040;45540014_45540040.02;45540014,00;45540040,00;66,00;131,00;B;0,00;S;III;G;STRA;Französische Straße;Mitte;Mitte;11900,00;420,00
643;T0011900_43450035;42450043_43450035.01;42450043,00;43450035,00;158,00;228,00;B;0,00;S;II;G;STRA;Paul-Schneider-Straße;Steglitz-Zehlendorf;Lankwitz;20100,00;820,00
644;51540012_51540042;51540012_51540042.01;51540012,00;51540042,00;0,00;96,00;B;0,00;S;II;G;STRA;Gürtelstraße;Friedrichshain-Kreuzberg;Friedrichshain;17300,00;700,00
664;T0049150_40450032;40450008_40450032.01;40450008,00;40450032,00;46,00;82,00;B;0,00;S;III;G;STRA;Ostpreußendamm;Steglitz-Zehlendorf;Lichterfelde;13000,00;300,00
645;T0016820_46480003;46480001_46480003.01;46480001,00;46480003,00;237,00;519,00;B;0,00;S;III;G;STRA;Komturstraße;Tempelhof-Schöneberg;Tempelhof;14500,00;910,00
646;33570009_33570010;33570009_33570010.01;33570009,00;33570010,00;0,00;102,00;B;0,00;S;II;G;STRA;Am Juliusturm;Spandau;Spandau;53600,00;2320,00
647;T0004290_41520010;41520017_41520010.01;41520017,00;41520010,00;114,00;249,00;B;0,00;S;II;G;STRA;Hohenzollerndamm;Charlottenburg-Wilmersdorf;Wilmersdorf;25500,00;320,00
648;48460006_T0006980;48460006_48460007.01;48460006,00;48460007,00;0,00;61,00;B;0,00;S;II;G;STRA;Buckower Damm;Neukölln;Britz;25900,00;590,00
649;52440024_52440041;52440024_52440041.01;52440024,00;52440041,00;0,00;155,00;B;0,00;S;II;G;STRA;Neuköllner Straße;Neukölln;Rudow;25600,00;690,00
650;62560002_T0030640;62560002_62570001.01;62560002,00;62570001,00;0,00;83,00;B;0,00;S;V;G;BRB;Mahlsdorfer Straße;-;-;15300,00;360,00
651;56440029_56440030;56440029_56440030.02;56440029,00;56440030,00;0,00;210,00;B;0,00;S;II;B;STRA;Adlergestell;Treptow-Köpenick;Grünau;46600,00;2350,00
652;39560026_39560027;39560026_39560027.01;39560026,00;39560027,00;0,00;35,00;B;0,00;S;II;G;STRA;Goerdelerdamm;Charlottenburg-Wilmersdorf;Charlottenburg-Nord;20500,00;1040,00
653;28430020_T0028120;28430020_28430016.02;28430020,00;28430016,00;0,00;51,00;R;0,00;S;III;G;STRA;Chausseestraße;Steglitz-Zehlendorf;Wannsee;2500,00;30,00
